Name			Inverted	delta_Ψ	t_delay slope_n		slope_re	ß_n
YAW203500N1G26	0			0 		0 		0.106995885	0.071696932	3.82
YAW203510M1G26	0			0 		0 		0.116987179	0.045127353	3.21
YAW203510N2G26	0			0 		0 		0.135576923	0.093457944	3.01
YAW203520M1G26	0			0 		0 		0.154676259	0.043196544	2.4
YAW203520N1G26	0			0 		0 		0.157803468	0.112244898	2.6
YAW203520N2G26	0			0 		0 		0.185057471	0.091623037	2.2
YAW203530M1G26	0			0 		0 		0.254807692	0.050893744	1.59
YAW203530N1G25	0			0 		0 		0.10781893	0.131687243	3.59
YAW203530N1G26	0			0 		0 		0.230769231	0.103944563	1.79
YAW203530N2G26	0			0 		0 		0.270114943	0.069609725	1.38
YAW203540M1G26	0			0 		0 		0.475961538	0.049312377	0.77
YAW203540M2G25	0			0 		0 		0.15430622	0.057955364	2.57
YAW203540N1G26	0			0 		0 		0.395683453	0.096707819	0.97
YAW203540N2G25	0			0 		0 		0.147101449	0.092386831	2.78
YAW203540N2G26	0			0 		0 		0.68115942	0.08531856	0.57
YAW203550M1G26	1			0 		0 		3.428571429	0.056355667	-0.05
YAW203550M2G25	0			0 		0 		0.211538462	0.059621212	1.76
YAW203550N1G26	0			0 		0 		2.2			0.090775988	0.16
YAW203560M1G26	0			0 		0 		0.428846154	0.064684243	-0.86
YAW203560N1G26	0			0 		0 		0.547619048	0.104353393	-0.66
YAW203560N2G25	0			0 		0 		1.147482014	0.081541067	1.14
YAW203560N2G26	0			0 		0 		0.363309353	0.112961296	-1.07
YAW203570M1G26	0			0 		0 		0.238461538	0.05734856	-1.68
YAW203570M2G25	0			0 		0 		2.647058824	0.058064516	0.125
YAW203570N1G26	0			0 		0 		0.267241379	0.102370872	-1.48
YAW203570N2G25	0			0 		0		1.2			0.108054086	0.33
YAW203570N2G26	0			0 		0		0.206321839	0.133744856	-1.88
YAW203580M1G25	0			0 		0		1.171014493	0.051835853	-0.28
YAW203580M1G26	0			0 		0		0.160982659	0.068811881	-2.5
YAW203580N2G25	1			0 		0		0.786956522	0.090540541	-0.49
YAW203580N2G26	0			0 		0		0.150724638	0.15472		-2.7
YAW203590M1G25	0			0 		0		0.355072464	0.073785243	-1.1
YAW203590M1G26	0			0 		0		0.121153846	0.06256		-3.31
YAW203590M2G25	0			0 		0		0.267307692	0.054835391	-1.51
YAW203590N1G26	0			0 		0		0.128323699	0.113965885	-3.11
YAW203590N2G25	0			0 		0		0.300961538	0.093429343	-1.31
YAW203590N2G26	0			0 		0		0.114403292	0.134357006	-3.52
YAW203600M1G25	0			0 		0		0.210791367	0.096584059	-1.92
YAW203600M2G25	0			0 		0		0.173333333	0.064		-2.33
YAW203600N2G25	0			0 		0		0.180658436	0.107014388	-2.13
YAW203610M2G25	0			0 		0		0.129022989	0.053571429	-3.14
YAW203610N2G25	0			0 		0		0.133196721	0.110138249	-2.94
YAW203620M1G25	0			0 		0		0.112716763	0.043967391	-3.55
YAW203620M2G25	0			0 		0		0.1			0.065650148	-3.96
YAW203620N2G25	0			0 		0		0.10781893	0.108270677	-3.76
YAW210560M1G27	0			0 		0		0.243165468	0.037149188	1.565
YAW210560M2G27	0			0 		0		0.291428571	0.033578431	1.275
YAW210560N1G27	0			0 		0		0.239047619	0.091590909	1.705
YAW210560N2G27	0			0 		0		0.294202899	0.10681382	1.415
YAW210570M1G27	0			0 		0		0.411764706	0.030600751	0.975
YAW210570M2G27	0			0 		0		0.557142857	0.032490272	0.685
YAW210580M1G27	0			0 		0		0.927536232	0.03763089	0.395
YAW210580M2G27	0			0 		0		2.851428571	0.030843043	0.105
YAW210580N1G27	0			0 		0		0.730434783	0.098124581	0.54
YAW210580N2G27	0			0 		0		1.537142857	0.112592593	0.245
YAW210590M1G27	0			0 		0		1.742857143	0.065361891	-0.185
YAW210590M2G27	0			0 		0		0.786956522	0.0744		-0.485
YAW210590N1G27	1			0 		0		2.857142857	0.096938776	-0.045
YAW210600M2G27	0			0 		0		0.371428571	0.071193416	-1.065
YAW210610M1G27	0			0 		0		0.28705036	0.0928		-1.355
YAW210610M2G27	0			0 		0		0.24057971	0.073878098	-1.645
YAW210650M1G32	0			0 		0		0.174100719	0.088073807	-2.3
YAW210650M2G27	0			0 		0		0.100961538	0.06383624	-3.985
YAW210650M2G32	0			0 		0		0.221153846	0.057894737	-1.795
YAW210650N1G27	0			0 		0		0.111522634	0.119119879	-3.545
YAW210650N1G32	0			0 		0		0.14375		0.11673774	-2.55
YAW210650N2G32	0			0 		0		0.196531792	0.107995736	-2.045
