Name			Inverted	delta_Ψ	t_delay slope_n		slope_re	ß_n
YAW203500N1G26	0			32		0		0.091989987	0.077341192	3.82
YAW203510M1G26	0			46		0		0.091360477	0.061143573	3.21
YAW203520M1G26	0			22		0		0.162139918	0.06559322	2.4
YAW203520N1G26	0			30		0		0.144152745	0.084579656	2.6
YAW203520N2G26	0			15		-17		0.188405797	0.074382716	2.2
YAW203530M1G25	0			0		-11		0.097988506	0.051683744	3.8
YAW203530M1G26	0			10		-20		0.241618497	0.06104093	1.59
YAW203530N1G25	0			50		0		0.108974359	0.098992081	3.59
YAW203530N1G26	0			30		-8		0.224137931	0.078043478	1.79
YAW203530N2G26	0			7		10		0.295192308	0.068266347	1.38
YAW203540M1G26	0			15		-33		0.507142857	0.062442396	0.77
YAW203540M2G25	0			0		-9		0.145432692	0.061307738	2.57
YAW203540N1G25	0			15		15		0.125		0.054626039	3.18
YAW203540N1G26	0			18		0		0.395683453	0.091554702	0.97
YAW203540N2G25	0			0		8		0.141726619	0.084544	2.78
YAW203540N2G26	0			30		0		0.648076923	0.099933021	0.57
YAW203550M1G26	1			360		-24		3.411428571	0.056577225	-0.05
YAW203550M2G25	0			20		-10		0.208633094	0.056463496	1.76
YAW203550N1G25	0			15		-10		0.158530184	0.077120823	2.37
YAW203550N1G26	0			16		-5		1.571428571	0.085368084	0.16
YAW203550N2G25	0			0		0		0.176053215	0.089217134	1.96
YAW203560M1G26	0			50		-24		0.396551724	0.067848241	-0.86
YAW203560N1G25	0			30		-12		0.236462094	0.068266667	1.55
YAW203560N1G26	0			15		0		0.448557692	0.106238752	-0.66
YAW203560N2G25	0			20		0		0.320574163	0.084656085	1.14
YAW203560N2G26	0			0		0		0.3			0.1044		-1.07
YAW203570M1G26	0			30		13		0.220143885	0.068314367	-1.68
YAW203570N1G25	0			30		-10		0.538571429	0.07434555	0.74
YAW203570N1G26	0			15		-8		0.237179487	0.093151751	-1.48
YAW203570N2G25	0			30		0		1.014492754	0.096046852	0.33
YAW203570N2G26	0			20		0		0.194871795	0.102268761	-1.88
YAW203580M1G25	0			30		-15		1.367647059	0.081221198	-0.28
YAW203580M1G26	0			30		15		0.158436214	0.07591623	-2.5
YAW203580N1G25	1			0		0		3.028571429	0.076064787	-0.08
YAW203580N2G25	1			35		0		0.811594203	0.096133434	-0.49
YAW203580N2G26	0			0		0		0.141361257	0.10754717	-2.7
YAW203590M1G25	0			0		13		0.371428571	0.107575758	-1.1
YAW203590M1G26	0			10		15		0.11815562	0.082717873	-3.31
YAW203590M2G25	0			20		20		0.258992806	0.066481994	-1.51
YAW203590N1G25	1			0		0		0.417266187	0.094907407	-0.9
YAW203590N1G26	0			0		0		0.124600639	0.11624424	-3.11
YAW203590N2G25	0			0		0		0.757211538	0.087159533	-1.31
YAW203600M1G25	0			0		-10		0.206896552	0.098054475	-1.92
YAW203600M2G25	0			50		-9		0.167464115	0.065739821	-2.33
YAW203600N1G25	0			0		0		0.216346154	0.09888		-1.72
YAW203600N2G25	0			10		9		0.179012346	0.075864277	-2.13
YAW203610M1G25	0			0		0		0.144230769	0.064726841	-2.74
YAW203610M2G25	0			0		0		0.117283951	0.042998028	-3.14
YAW203610N2G25	0			15		0		0.131410256	0.068974229	-2.94
YAW203620M1G25	0			0		-8		0.111821086	0.067516525	-3.55
YAW210560M2G27	0			0		0		0.302158273	0.034015025	1.275
YAW210560N1G27	0			25		0		0.222488038	0.014397906	1.705
YAW210560N2G27	0			20		0		0.283653846	0.113438045	1.415
YAW210570M2G27	0			0		0		0.524038462	0.06288		0.685
YAW210580M2G27	0			0		-30		2.857142857	0.064673913	0.105
YAW210580N2G27	0			-5		0		1.542857143	0.099367978	0.245
YAW210590M1G27	0			20		-25		1.742857143	0.054640921	-0.185
YAW210590M2G27	0			40		-25		0.789855072	0.063487148	-0.485
YAW210590N1G27	1			0		0		2.857142857	0.081008101	-0.045
YAW210600M2G27	0			0		-25		0.356115108	0.063587111	-1.065
YAW210600N2G27	0			20		0		0.432692308	0.078804348	-0.915
YAW210610M1G27	0			0		0		0.288461538	0.088912887	-1.355
YAW210610M2G27	0			0		0		0.242753623	0.069412442	-1.645
YAW210650M2G27	0			0		0		0.096541787	0.066666667	-3.985
YAW210650M2G32	0			0		0		0.219653179	0.062065541	-1.795
YAW210650N1G27	0			0		0		0.109293194	0.08416771	-3.545
YAW210650N1G32	0			0		-15		0.16091954	0.102966841	-2.55
YAW210650N2G32	0			0		0		0.194711538	0.092086331	-2.045
