Name			Inverted	delta_Ψ	t_delay slope_n		slope_re	ß_n
YAY203500N1G26	0			0		0		0.104632588	0.087475149	3.82
YAY203510M1G26	0			0		0		0.122302158	0.048310292	3.21
YAY203510N2G26	0			0		0		0.135057471	0.085443518	3.01
YAY203520M1G26	0			0		0		0.164903846	0.055983773	2.4
YAY203520N1G26	0			0		0		0.15625		0.088004191	2.6
YAY203520N2G26	0			0		0		0.188461538	0.090460526	2.2
YAY203530M1G26	0			0		0		0.245714286	0.041282642	1.59
YAY203530N1G25	0			0		0		0.112716763	0.1133829	3.59
YAY203530N1G26	0			0		0		0.224137931	0.104553903	1.79
YAY203530N2G26	0			0		0		0.292028986	0.066523605	1.38
YAY203540M1G26	0			0		0		0.507142857	0.046260388	0.77
YAY203540M2G25	0			0		0		0.15625		0.062491001	2.57
YAY203540N1G25	0			0		0		0.126794258	0.068887634	3.18
YAY203540N1G26	0			0		0		0.403846154	0.098680264	0.97
YAY203540N2G26	0			0		0		0.652173913	0.077958673	0.57
YAY203550M1G25	0			0		0		0.183453237	0.154178674	2.17
YAY203550M1G26	1			0		0		3.411428571	0.050223928	-0.05
YAY203550M2G25	0			0		0		0.205755396	0.069444444	1.76
YAY203550N1G25	0			0		0		0.168390805	0.079180509	2.37
YAY203550N1G26	0			0		0		2.2			0.090439978	0.16
YAY203550N2G25	0			0		0		0.205755396	0.067592593	1.96
YAY203550N2G26	1			0		0		1.285714286	0.076025391	-0.25
YAY203560M1G26	0			0		0		0.447115385	0.060407609	-0.86
YAY203560N1G25	0			0		0		0.255395683	0.071502058	1.55
YAY203560N1G26	0			0		0		0.547619048	0.104141657	-0.66
YAY203560N2G25	0			0		0		0.346153846	0.1024		1.14
YAY203560N2G26	0			0		0		0.363461538	0.119341564	-1.07
YAY203570M1G26	0			0		0		0.232758621	0.05961152	-1.68
YAY203570M2G25	0			0		0		2.647058824	0.051383399	0.125
YAY203570N1G25	0			0		0		0.535714286	0.073007368	0.74
YAY203570N1G26	0			0		0		0.25862069	0.103903346	-1.48
YAY203570N2G25	0			0		0		1.2			0.102379461	0.33
YAY203570N2G26	0			0		0		0.182080925	0.1128		-1.88
YAY203580M1G25	0			0		0		0.971428571	0.055642023	-0.28
YAY203580M1G26	0			0		0		0.158653846	0.045876963	-2.5
YAY203580N1G25	1			0		0		3.028571429	0.076266667	-0.08
YAY203580N2G25	1			0		0		0.785507246	0.091522634	-0.49
YAY203590M1G25	0			0		0		0.364285714	0.074074074	-1.1
YAY203590M1G26	0			0		0		0.126086957	0.062889518	-3.31
YAY203590M2G25	0			0		0		0.26875		0.071628289	-1.51
YAY203590N1G25	1			0		0		0.423076923	0.071499503	-0.9
YAY203590N1G26	0			0		0		0.124600639	0.121535181	-3.11
YAY203590N2G25	0			0		0		0.304347826	0.099483013	-1.31
YAY203600M1G25	0			0		0		0.210576923	0.064397906	-1.92
YAY203600M2G25	0			0		0		0.172413793	0.069444444	-2.33
YAY203600N1G25	0			0		0		0.217307692	0.114020427	-1.72
YAY203610M2G25	0			0		0		0.124820144	0.051660156	-3.14
YAY203620M1G25	0			0		0		0.113168724	0.067338855	-3.55
YAY203620M2G25	0			0		0		0.101438849	0.069405099	-3.96
YAY210560M1G27	0			0		0		0.243884892	0.041421255	1.565
YAY210560M2G27	0			0		0		0.276258993	0.052533333	1.275
YAY210560N1G27	0			0		0		0.235971223	0.096207865	1.705
YAY210570M1G27	0			0		0		0.375		0.034381139	0.975
YAY210570M2G27	0			0		0		0.521153846	0.048675115	0.685
YAY210570N2G27	0			0		0		0.485714286	0.06138546	0.835
YAY210580M1G27	0			0		0		0.924637681	0.021965002	0.395
YAY210580M2G27	0			0		0		2.857142857	0.029665899	0.105
YAY210580N1G27	0			0		0		0.728985507	0.100375704	0.54
YAY210590M1G27	0			0		0		1.485714286	0.054188482	-0.185
YAY210590M2G27	0			0		0		0.785507246	0.067382813	-0.485
YAY210590N1G27	1			0		0		2.857142857	0.095733333	-0.045
YAY210600M2G27	0			0		0		0.356115108	0.032225914	-1.065
YAY210610M2G27	0			0		0		0.240942029	0.065641776	-1.645
YAY210610N1G27	0			0		0		0.325899281	0.111353712	-1.215
YAY210650M2G27	0			0		0		0.101034483	0.047325103	-3.985
YAY210650M2G32	0			0		0		0.217241379	0.063315217	-1.795
YAY210650N1G32	0			0		0		0.134816754	0.120389105	-2.55
YAY210650N2G32	0			0		0		0.192307692	0.094509451	-2.045
